Title,Small title,Casino,Tnc
"20% Cashback Bonus up to 10,000 ₮",1st Dep. Cashback,Bitcasino.io,"Maximum cashback: 10,000 ₮, Maximum cashout: 0.2x bonus valueThanks to this bonus, you will get 20% of your losses back in the form of real money, up to the maximum of 10,000 ₮.The maximum amount of real money you can withdraw from this bonus is limited to 0.2-times the value of the cashback added to your account.
Wagering requirements: No wagering neededCashback will be added to you as real money, which requires no wagering. You should be able to withdraw the cashback amount right after receiving it.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsNew players only18+Full Terms applyCashback is calculated based on players’ net losses from the consecutive 7 days since the first deposit date and will be paid out on day 8Players need to play any slot or live casino game during the first 7 days since the first deposit was made.Wagers accepted in all supported currencies but payout will be in USDT"
75% up to €300,Saturday Reload Bonus,Abo Casino,"Minimum deposit: €20, Maximum cashout: €10,000You need to deposit at least €20 to be eligible for this bonus.The maximum amount of money you can withdraw from this bonus is limited to €10,000. If you win more than that, the exceeding amount will be forfeited.
Wagering requirements: 40x bonus (restrictions apply)This bonus can only be used on these types of casino games: Slots.You will have to wager 40-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €75 bonus, you will have to wager €3,000 in total (€75 * 40) before being allowed to make a withdrawal.This bonus can only be used on these types of casino games: Slots.
Sticky bonusThe initial bonus value will be deducted from your account when making a withdrawal.If you deposit €100 and get a €75 bonus, €75 will be deducted from your account when you make a withdrawal.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditions18+Terms apply, please gamble responsiblyYou can get 75% up to 300 EUR if your deposit is 20-499 EUR; You can get 50% up to 2000 EUR if your deposit is 500+ EUR; If you make a deposit with cryptocurrency you get 60% up to 0.05 BTCThe bonus is available only on Saturday for players who have already used all the welcome package bonuses"
25 FREE SPINS on Endorphina Slots (Everyday),Registration No Deposit Bonus,Cristal Poker Casino,"Wagering requirements: 15x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 15-times to convert it into real money.If you win €25 from free spins, you will then have to wager €375 (€25 * 15) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: €25 (25 spins at €1 per spin)This bonus consists of 25 free spins, each of which has a value of 1. Therefore, this free spins bonus has a total value of €25.
Bonus expiration: 1 dayYou will have 1 day to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
The process of getting this bonus should be virtually INSTANTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.
Terms and conditionsEach player will receive 25 free spins every 24 hours. This is a “play now, deposit later” free spin offer. Players claim the free spins first and if they like the amount of winnings, they will need to make a minimum deposit to start the wagering and redeem the winningsFull Terms apply18+Available for 1 claim per IP addressTo be eligible for the bonus, players must complete the registration process"
50% up to €350 and 35 extra spins (€0.1/spin),2nd Deposit Bonus,1xSlots Casino,"Minimum deposit: €15, Maximum cashout: UnlimitedYou need to deposit at least €15 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €50 bonus, you will have to wager €1,750 in total (€50 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 35 spins on Vampire's Charm, €0.1 per spin (€3.5 total value)Alongside this deposit bonus, you will also get 35 free spins that can be used on Vampire's Charm. Each free spin has a value of €0.1, which means that the free spins add €3.5 to the value of this bonus.
Terms and conditionsNew players onlyFull Terms applyFree spins will not be credited to users with accounts in OMR, BHD, QTUM, KWD, mBT, ZEC, XMR, LTC, DASH, ETH, XAUPhone verification needed Multiple games are excluded from the bonus offer18+"
20% Cashback Bonus up to 500 mBTC,Monthly Cashback,Livecasino.io Casino,"Maximum cashback: 500 mBTC, Minimum deposit: 0.25 mBTCThanks to this bonus, you will get 20% of your losses back in the form of real money, up to the maximum of 500 mBTC.You need to deposit at least 0.25 mBTC to be eligible for this bonus.
Wagering requirements: No wagering neededCashback will be added to you as real money, which requires no wagering. You should be able to withdraw the cashback amount right after receiving it.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsWager 50 up to 5000 mBTC to reach a new tier. Depending on your wager, receive 10, 12.5, 15 or 20% cashback of your net losses.
Cashback will be issued on the first weekday of every month.
Tiers will reset at the beginning of each new month.18+"
100% up to $165,Weekend & Friday Reload Bonus,Casinoin,"Minimum deposit: $22, Maximum cashout: Unlimited, Excluded payment methods: Pay4Fun, Neteller, SkrillYou need to deposit at least $22 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.If you deposit using Pay4Fun, Neteller or Skrill, you will not be eligible to receive this bonus, or your winnings may be voided afterwards.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Live games 10%, Roulette 0%, Blackjack 0%, Baccarat 0%, Craps and dice 0%, Table games 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit $100 and get a $100 bonus, you will have to wager $3,500 in total ($100 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Live games 10%, Roulette 0%, Blackjack 0%, Baccarat 0%, Craps and dice 0%, Table games 0%.
Maximum bet: $6 or 100% of starting bonus value (lower value applies)You cannot bet more than $6 or 100% of the intitial value of your bonus while playing with bonus funds. The lower of the two values applies. If you get a $100 bonus, your maximum bet will be $6, because it is lower than $100 (100% of $100). If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 3 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 3 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditions You can get one bonus for this promotion every weekday from 08:00 to 23:59 GMT+2.Full Terms apply18+Available for 1 claim per IP addressGame weighting and exclusions applyMany excluded games, read the terms carefully.Bonuses do not apply to any deposits in cryptocurrencies"
50 FREE SPINS on Big Bass Splash,Registration No Deposit Bonus,HitNSpin Casino,"Wagering requirements: 3x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 3-times to convert it into real money.If you win $10 from free spins, you will then have to wager $30 ($10 * 3) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: $10 (50 spins at $0.2 per spin)This bonus consists of 50 free spins, each of which has a value of 0.2. Therefore, this free spins bonus has a total value of $10.
Maximum bet: $5You cannot bet more than $5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
Bonus expiration: 5 daysYou will have 5 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsNew players onlyTerms apply, please gamble responsibly18+Available for 1 claim per IP address"
25% up to €400 and 40 extra spins (€0.1/spin),3rd Deposit Bonus,1xSlots Casino,"Minimum deposit: €15, Maximum cashout: UnlimitedYou need to deposit at least €15 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €25 bonus, you will have to wager €875 in total (€25 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 40 spins on Alchemy Gold, €0.1 per spin (€4 total value)Alongside this deposit bonus, you will also get 40 free spins that can be used on Alchemy Gold. Each free spin has a value of €0.1, which means that the free spins add €4 to the value of this bonus.
Terms and conditionsNew players onlyFull Terms applyFree spins will not be credited to users with accounts in OMR, BHD, QTUM, KWD, mBT, ZEC, XMR, LTC, DASH, ETH, XAUPhone verification needed Multiple games are excluded from the bonus offer18+"
10% Cashback Bonus,Daily Cashback,No Bonus Casino,"Maximum cashback: UnlimitedThanks to this bonus, you will get 10% of your losses back in the form of real money, regardless of how much you lose.
Wagering requirements: No wagering neededCashback will be added to you as real money, which requires no wagering. You should be able to withdraw the cashback amount right after receiving it.
The process of getting this bonus should be relatively FAST, Bonus expiration: 10 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 10 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsFull Terms apply"
"200% up to $4,000",Reload Bonus,ROLR Casino,"Minimum deposit: $200, Maximum cashout: UnlimitedYou need to deposit at least $200 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 40x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Live games 0%., Deposit LOCKEDYou will have to wager 40-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit $100 and get a $200 bonus, you will have to wager $8,000 in total ($200 * 40) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Live games 0%.The deposit is locked to the bonus amount. Your deposit and the bonus amount you receive are added to a balance of bonus funds, which can only be converted to real money by clearing the wagering requirements.
The process of getting this bonus should be relatively FAST, Bonus expiration: 3 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 3 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsFull Terms applyReal money is played first - the bonus amount can only be played if the real balance has reached zero18+"
200 FREE SPINS on Monster Hunt,Registration No Deposit Bonus,SpinBetter Casino,"Wagering requirements: 25x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 25-times to convert it into real money.If you win €20 from free spins, you will then have to wager €500 (€20 * 25) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: €20 (200 spins at €0.1 per spin)This bonus consists of 200 free spins, each of which has a value of 0.1. Therefore, this free spins bonus has a total value of €20.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsThis is a “play now, deposit later” free spin offer. Players claim the free spins first and if they like the amount of winnings, they will need to make a minimum deposit to start the wagering and redeem the winnings18+ Multiple games are excluded from the bonus offerFull Terms applyPhone verification neededThe bonus will be available after all data in the player's personal information section is filled out and the email is verified"
25% up to €450 and 45 extra spins (€0.1/spin),4th Deposit Bonus,1xSlots Casino,"Minimum deposit: €15, Maximum cashout: UnlimitedYou need to deposit at least €15 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €25 bonus, you will have to wager €875 in total (€25 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 45 spins on Phoenix Rises, €0.1 per spin (€4.5 total value)Alongside this deposit bonus, you will also get 45 free spins that can be used on Phoenix Rises. Each free spin has a value of €0.1, which means that the free spins add €4.5 to the value of this bonus.
Terms and conditionsNew players onlyFull Terms applyFree spins will not be credited to users with accounts in OMR, BHD, QTUM, KWD, mBT, ZEC, XMR, LTC, DASH, ETH, XAUPhone verification needed Multiple games are excluded from the bonus offer18+"
10% Cashback Bonus up to €300,Weekly Cashback,CosmicSlot Casino,"Maximum cashback: €300, Minimum deposit: €50Thanks to this bonus, you will get 10% of your losses back in the form of bonus money, up to the maximum of €300.You need to deposit at least €50 to be eligible for this bonus.
Wagering requirements: 10x (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%, Live games 0%.Games from some game providers have a decreased contribution towards the wagering requirements: Amusnet (EGT) 0%, Other 100%.Cashback will be added to your account as bonus money. To convert it into real money and be able to withdraw it, you first need to wager 10x the value of the cashback added to your account.If you get a cashback of €100, you will need to wager €1,000.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%, Live games 0%.Games from some game providers have a decreased contribution towards the wagering requirements: Amusnet (EGT) 0%, Other 100%.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
Getting this bonus is LITTLE TIME-CONSUMING, Bonus expiration: 10 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is a bit time-consuming.The bonus expires 10 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsFull Terms applyGame weighting and exclusions apply18+ Multiple games are excluded from the bonus offerTo qualify for the bonus, you need to have made at least 2 deposits previously since you have joined the casino"
